Year,Month,Day,Hour,Minute,Second,HYY_DMPS.tconc
2014,01,10,09,00,00,156.8191
2014,01,10,10,00,00,204.28647
2014,01,10,11,00,00,215.96651
2014,01,10,12,00,00,218.05014
2014,01,10,13,00,00,223.7191
2014,01,10,14,00,00,221.38068
2014,01,10,15,00,00,264.18102
2014,01,10,16,00,00,244.08755
2014,01,10,17,00,00,221.23837
2014,01,10,18,00,00,228.25028
2014,01,10,19,00,00,230.39691
2014,01,10,20,00,00,256.48867
2014,01,10,21,00,00,288.09179
2014,01,10,22,00,00,265.20302
2014,01,10,23,00,00,262.07332
2014,01,11,00,00,00,251.69934
2014,01,11,01,00,00,254.588
2014,01,11,02,00,00,276.02384
2014,01,11,03,00,00,233.7989
2014,01,11,04,00,00,450.68559
2014,01,11,05,00,00,818.94158
2014,01,11,06,00,00,479.34971
2014,01,11,07,00,00,635.1535
2014,01,11,08,00,00,440.08411
2014,01,11,09,00,00,389.18657
2014,01,11,10,00,00,390.04408
2014,01,11,11,00,00,590.60344
2014,01,11,12,00,00,472.51661
2014,01,11,13,00,00,420.70522
2014,01,11,14,00,00,439.70885
2014,01,11,15,00,00,441.30217
2014,01,11,16,00,00,458.06011
2014,01,11,17,00,00,484.12563
2014,01,11,18,00,00,515.83508
2014,01,11,19,00,00,513.7265
2014,01,11,20,00,00,562.99115
2014,01,11,21,00,00,534.96972
2014,01,11,22,00,00,585.70817
2014,01,11,23,00,00,590.21437
2014,01,12,00,00,00,564.61051
2014,01,12,01,00,00,541.8617
2014,01,12,02,00,00,484.12382
2014,01,12,03,00,00,714.0934
2014,01,12,04,00,00,1221.29753
2014,01,12,05,00,00,1215.93138
2014,01,12,06,00,00,1031.95704
2014,01,12,07,00,00,852.46476
2014,01,12,08,00,00,2146.44071
2014,01,12,09,00,00,5532.99658
2014,01,12,10,00,00,4030.18689
2014,01,12,11,00,00,2418.46169
2014,01,12,12,00,00,1627.91624
2014,01,12,13,00,00,624.28605
2014,01,12,14,00,00,439.70123
2014,01,12,15,00,00,616.93317
2014,01,12,16,00,00,660.42319
2014,01,12,17,00,00,502.9346
2014,01,12,18,00,00,551.45983
2014,01,12,19,00,00,1202.77689
2014,01,12,20,00,00,1629.21567
2014,01,12,21,00,00,447.42517
2014,01,12,22,00,00,398.66086
2014,01,12,23,00,00,386.17275
2014,01,13,00,00,00,399.93675
2014,01,13,01,00,00,368.12193
2014,01,13,02,00,00,353.4046
2014,01,13,03,00,00,362.64587
2014,01,13,04,00,00,299.33637
2014,01,13,05,00,00,285.91623
2014,01,13,06,00,00,283.06968
2014,01,13,07,00,00,333.60056
2014,01,13,08,00,00,311.82797
2014,01,13,09,00,00,319.23401
2014,01,13,10,00,00,347.2256
2014,01,13,11,00,00,529.33617
2014,01,13,12,00,00,423.15728
2014,01,13,13,00,00,437.57358
2014,01,13,14,00,00,659.91633
2014,01,13,15,10,00,421.54097
2014,01,13,16,05,00,406.93928
2014,01,13,17,00,00,483.38832
2014,01,13,18,00,00,514.23122
2014,01,13,19,00,00,544.37486
2014,01,13,20,00,00,585.06156
2014,01,13,21,00,00,584.81619
2014,01,13,22,00,00,629.36906
2014,01,13,23,00,00,616.54974
2014,01,14,00,00,00,650.92316
2014,01,14,01,00,00,685.55176
2014,01,14,02,00,00,707.15455
2014,01,14,03,00,00,679.9998
