Entity,Code,Year,Gas Consumption - TWh,Coal Consumption - TWh,Oil Consumption - TWh
Oman,OMN,1990,24.47672462463379,0,24.387266159057617
Oman,OMN,1991,24.816024780273438,0,40.052223205566406
Oman,OMN,1992,27.125150680541992,0,35.36574935913086
Oman,OMN,1993,26.031850814819336,0,33.806156158447266
Oman,OMN,1994,27.257099151611328,0.00013916667376179248,29.583311080932617
Oman,OMN,1995,33.3441162109375,0.0000758333335397765,32.55546188354492
Oman,OMN,1996,36.43169021606445,0.00004833333514397964,31.351797103881836
Oman,OMN,1997,42.11878967285156,0.00038888887502253056,27.593461990356445
Oman,OMN,1998,43.91896438598633,0.0005583333550021052,27.727603912353516
Oman,OMN,1999,47.032196044921875,0.00006666666740784422,35.44929122924805
Oman,OMN,2000,76.75151824951172,0.002916666679084301,37.84492492675781
Oman,OMN,2001,84.27616882324219,0.0016388888470828533,42.20793533325195
Oman,OMN,2002,88.28179168701172,0.003916666842997074,49.36030960083008
Oman,OMN,2003,95.2459487915039,0,47.33402633666992
Oman,OMN,2004,86.4348373413086,0.00927777774631977,46.236778259277344
Oman,OMN,2005,107.78306579589844,0.003638888942077756,51.53972244262695
Oman,OMN,2006,120.3576889038086,0.03577916696667671,53.67273712158203
Oman,OMN,2007,121.62479400634766,0.008166667073965073,51.76779556274414
Oman,OMN,2008,133.80410766601562,0.013944444246590137,70.15721130371094
Oman,OMN,2009,135.47402954101562,0.016277777031064034,66.96846008300781
Oman,OMN,2010,163.8084259033203,0.3446063995361328,76.53600311279297
Oman,OMN,2011,180.8238067626953,0.1183733344078064,80.79763793945312
Oman,OMN,2012,197.15591430664062,0.35913944244384766,87.65480041503906
Oman,OMN,2013,217.27545166015625,0.5224438905715942,101.05799102783203
Oman,OMN,2014,213.1425018310547,0.41572555899620056,103.9253921508789
Oman,OMN,2015,230.46226501464844,0.5721902847290039,104.5213623046875
Oman,OMN,2016,228.5784454345703,0.6405799984931946,107.01193237304688
Oman,OMN,2017,233.5087890625,0.8834947347640991,126.79811096191406
Oman,OMN,2018,249.96495056152344,0.8663694262504578,129.95297241210938
Oman,OMN,2019,249.96546936035156,1.972190260887146,126.5902328491211
Oman,OMN,2020,259.1574401855469,3.770399332046509,107.1280517578125
Oman,OMN,2021,295.25537109375,3.64188289642334,116.61083221435547
Other Africa (BP),,1965,1.155304193496704,29.12057113647461,165.55955505371094
Other Africa (BP),,1966,1.9253411293029785,32.771549224853516,172.1705780029297
Other Africa (BP),,1967,2.032094717025757,30.243558883666992,179.9486846923828
Other Africa (BP),,1968,1.79039466381073,29.940553665161133,187.81365966796875
Other Africa (BP),,1969,0.9706122279167175,29.490524291992188,203.36192321777344
Other Africa (BP),,1970,4.485000133514404,33.28253936767578,211.90103149414062
Other Africa (BP),,1971,5.420750141143799,34.92218017578125,235.33587646484375
Other Africa (BP),,1972,9.696916580200195,33.40603256225586,247.5067138671875
Other Africa (BP),,1973,19.471250534057617,36.24081039428711,271.1838684082031
Other Africa (BP),,1974,21.321666717529297,33.31081771850586,278.7171325683594
Other Africa (BP),,1975,22.445749282836914,31.290719985961914,284.5830993652344
Other Africa (BP),,1976,21.31800079345703,40.37795639038086,312.28778076171875
Other Africa (BP),,1977,25.58300018310547,34.80317306518555,337.5825500488281
Other Africa (BP),,1978,30.280000686645508,34.30498123168945,358.6513671875
Other Africa (BP),,1979,53.92525100708008,33.88254928588867,376.2292785644531
Other Africa (BP),,1980,53.72325134277344,35.050594329833984,400.64935302734375
Other Africa (BP),,1981,59.85649871826172,33.24723434448242,427.0886535644531
