Entity,Code,Year,Coal per capita (kWh),Oil per capita (kWh),Gas per capita (kWh)
Czechia,CZE,1983,43103.81640625,11654.626953125,3625.78564453125
Czechia,CZE,1984,43973.12109375,12405.267578125,3864.392333984375
Czechia,CZE,1985,43057.75390625,12183.337890625,4749.0869140625
Czechia,CZE,1986,42879,11705.7119140625,5020.29052734375
Czechia,CZE,1987,42379.37109375,11752.5458984375,5476.267578125
Czechia,CZE,1988,42861.66015625,11292.494140625,5509.30859375
Czechia,CZE,1989,41191.58203125,10779.6064453125,5682.900390625
Czechia,CZE,1990,33454.07421875,9730.861328125,5901.892578125
Czechia,CZE,1991,30630.1484375,8137.16943359375,5691.7783203125
Czechia,CZE,1992,28583.20703125,7793.01220703125,6515.0546875
Czechia,CZE,1993,27791.134765625,7885.5146484375,6654.482421875
Czechia,CZE,1994,26297.42578125,8152.9931640625,6498.40576171875
Czechia,CZE,1995,26329.29296875,9190.330078125,7356.0390625
Czechia,CZE,1996,26290.890625,9627.2255859375,8471.9267578125
Czechia,CZE,1997,24731.2734375,9191.3447265625,8626.9833984375
Czechia,CZE,1998,22958.115234375,9501.4169921875,8658.1552734375
Czechia,CZE,1999,20952.4296875,9473.689453125,8718.8994140625
Czechia,CZE,2000,23977.837890625,9177.33984375,8477.3623046875
Czechia,CZE,2001,23574.134765625,9728.326171875,9094.91015625
Czechia,CZE,2002,23178.361328125,9437.01171875,8805.1279296875
Czechia,CZE,2003,23588.115234375,10111.337890625,8907.4697265625
Czechia,CZE,2004,23623.189453125,11141.71875,8845.5234375
Czechia,CZE,2005,22781.55078125,11615.830078125,8733.6279296875
Czechia,CZE,2006,23495.91796875,11410.3193359375,8575.2109375
Czechia,CZE,2007,23317.78125,11266.412109375,8127.94775390625
Czechia,CZE,2008,21970.623046875,11244.974609375,8002.50439453125
Czechia,CZE,2009,20172.86328125,10791.1240234375,7545.03515625
Czechia,CZE,2010,20726.130859375,10143.1484375,8907.001953125
Czechia,CZE,2011,20346.228515625,10247.662109375,7494.478515625
Czechia,CZE,2012,19482.400390625,10106.1181640625,7535.60400390625
Czechia,CZE,2013,18561.75,9638.54296875,7631.08935546875
Czechia,CZE,2014,17980.734375,10195.025390625,6788.52783203125
Czechia,CZE,2015,17909.08203125,9892.7158203125,7111.75634765625
Czechia,CZE,2016,18006.36328125,9273.35546875,7684.4111328125
Czechia,CZE,2017,17120.8203125,10835.0361328125,7870.26513671875
Czechia,CZE,2018,16963.478515625,10886.6806640625,7484.59130859375
Czechia,CZE,2019,15654.1494140625,11002.0751953125,7788.17822265625
Czechia,CZE,2020,13574.2783203125,9569.9501953125,7902.12841796875
Czechia,CZE,2021,14079.693359375,10507.12890625,8456.693359375
Denmark,DNK,1965,9034.609375,25864.185546875,0
