datetimeISO,year,month,day,hour,minute,second,value
2020-04-29T14:30:00.033411Z,2020,4,29,14,30,0,421.075
2020-04-29T15:29:59.927421Z,2020,4,29,15,30,0,421.061
2020-04-29T16:30:00.137666Z,2020,4,29,16,30,0,421.439
2020-04-29T17:30:00.031677Z,2020,4,29,17,30,0,421.507
2020-04-29T18:29:59.925694Z,2020,4,29,18,30,0,423.088
2020-04-29T19:30:00.135939Z,2020,4,29,19,30,0,422.724
2020-04-29T20:30:00.029949Z,2020,4,29,20,30,0,425.689
2020-04-29T21:29:59.923966Z,2020,4,29,21,30,0,423.109
2020-04-29T22:30:00.134211Z,2020,4,29,22,30,0,422.716
2020-04-29T23:30:00.028221Z,2020,4,29,23,30,0,422.698
2020-04-30T00:29:59.922239Z,2020,4,30,0,30,0,422.823
2020-04-30T01:30:00.132477Z,2020,4,30,1,30,0,422.875
2020-04-30T02:30:00.026494Z,2020,4,30,2,30,0,422.531
2020-04-30T03:29:59.920511Z,2020,4,30,3,30,0,425.12
2020-04-30T04:30:00.130749Z,2020,4,30,4,30,0,423.704
2020-04-30T05:30:00.024766Z,2020,4,30,5,30,0,423.065
2020-04-30T06:29:59.918784Z,2020,4,30,6,30,0,420.945
2020-04-30T07:30:00.129022Z,2020,4,30,7,30,0,421.339
2020-04-30T08:30:00.023039Z,2020,4,30,8,30,0,421.033
2020-04-30T09:29:59.917056Z,2020,4,30,9,30,0,421.391
2020-04-30T10:30:00.127294Z,2020,4,30,10,30,0,421.889
2020-04-30T11:30:00.021311Z,2020,4,30,11,30,0,421.005
2020-04-30T12:29:59.915329Z,2020,4,30,12,30,0,420.69
2020-04-30T13:30:00.125566Z,2020,4,30,13,30,0,421.1
2020-04-30T14:30:00.019584Z,2020,4,30,14,30,0,420.381
2020-04-30T15:29:59.913601Z,2020,4,30,15,30,0,420.544
2020-04-30T16:30:00.123839Z,2020,4,30,16,30,0,420.967
2020-04-30T17:30:00.017856Z,2020,4,30,17,30,0,420.859
2020-04-30T18:29:59.911873Z,2020,4,30,18,30,0,420.386
2020-04-30T19:30:00.122111Z,2020,4,30,19,30,0,420.375
2020-04-30T20:30:00.016129Z,2020,4,30,20,30,0,420.213
2020-04-30T21:29:59.910146Z,2020,4,30,21,30,0,420.175
2020-04-30T22:30:00.120384Z,2020,4,30,22,30,0,432.254
2020-04-30T23:30:00.014401Z,2020,4,30,23,30,0,420.79
2020-05-01T00:29:59.908418Z,2020,5,1,0,30,0,422.234
2020-05-01T01:30:00.118656Z,2020,5,1,1,30,0,422.323
2020-05-01T02:30:00.012673Z,2020,5,1,2,30,0,422.293
2020-05-01T03:29:59.906691Z,2020,5,1,3,30,0,422.066
2020-05-01T04:30:00.116929Z,2020,5,1,4,30,0,423.725
2020-05-01T05:30:00.010946Z,2020,5,1,5,30,0,424.968
2020-05-01T06:29:59.904963Z,2020,5,1,6,30,0,427.405
2020-05-01T07:30:00.115201Z,2020,5,1,7,30,0,421.928
2020-05-01T08:30:00.009218Z,2020,5,1,8,30,0,420.624
2020-05-01T09:29:59.903228Z,2020,5,1,9,30,0,420.43
2020-05-01T10:30:00.113474Z,2020,5,1,10,30,0,420.482
2020-05-01T11:30:00.007491Z,2020,5,1,11,30,0,420.331
2020-05-01T12:29:59.901501Z,2020,5,1,12,30,0,420.051
2020-05-01T13:30:00.111746Z,2020,5,1,13,30,0,419.995
2020-05-01T14:30:00.005763Z,2020,5,1,14,30,0,420.323
2020-05-01T15:29:59.899773Z,2020,5,1,15,30,0,420.694
2020-05-01T16:30:00.110018Z,2020,5,1,16,30,0,420.63
2020-05-02T00:29:59.894591Z,2020,5,2,0,30,0,421.771
2020-05-02T01:30:00.104829Z,2020,5,2,1,30,0,422.062
2020-05-02T02:29:59.998846Z,2020,5,2,2,30,0,422.073
2020-05-02T03:29:59.892863Z,2020,5,2,3,30,0,421.977
2020-05-02T04:30:00.103101Z,2020,5,2,4,30,0,421.751
2020-05-02T05:29:59.997118Z,2020,5,2,5,30,0,421.197
2020-05-02T06:29:59.891136Z,2020,5,2,6,30,0,420.473
2020-05-02T07:30:00.101374Z,2020,5,2,7,30,0,419.995
2020-05-02T08:29:59.995391Z,2020,5,2,8,30,0,419.787
2020-05-02T09:29:59.889408Z,2020,5,2,9,30,0,419.461
2020-05-02T10:30:00.099646Z,2020,5,2,10,30,0,419.076
2020-05-02T11:29:59.993663Z,2020,5,2,11,30,0,419.152
2020-05-02T12:29:59.887681Z,2020,5,2,12,30,0,419.898
2020-05-02T13:30:00.097918Z,2020,5,2,13,30,0,420.526
2020-05-02T14:29:59.991936Z,2020,5,2,14,30,0,420.53
2020-05-02T15:29:59.885953Z,2020,5,2,15,30,0,420.054
2020-05-02T16:30:00.096191Z,2020,5,2,16,30,0,419.82
2020-05-02T17:29:59.990208Z,2020,5,2,17,30,0,419.938
2020-05-02T18:29:59.884225Z,2020,5,2,18,30,0,420.297
2020-05-02T19:30:00.094463Z,2020,5,2,19,30,0,420.679
2020-05-02T20:29:59.988481Z,2020,5,2,20,30,0,420.941
2020-05-02T21:29:59.882498Z,2020,5,2,21,30,0,421.279
2020-05-02T22:30:00.092736Z,2020,5,2,22,30,0,421.739
2020-05-02T23:29:59.986753Z,2020,5,2,23,30,0,422.042
2020-05-03T00:29:59.880770Z,2020,5,3,0,30,0,422.454
2020-05-03T01:30:00.091008Z,2020,5,3,1,30,0,422.678
2020-05-03T02:29:59.985026Z,2020,5,3,2,30,0,422.882
2020-05-03T03:29:59.879043Z,2020,5,3,3,30,0,422.934
2020-05-03T04:30:00.089281Z,2020,5,3,4,30,0,424.369
