datetimeISO,year,month,day,hour,minute,second,value
2015-05-10T20:29:59.919363Z,2015,5,10,20,30,0,406.474
2015-05-10T21:30:00.069118Z,2015,5,10,21,30,0,406.866
2015-05-10T22:29:59.903523Z,2015,5,10,22,30,0,408.061
2015-05-10T23:30:00.053278Z,2015,5,10,23,30,0,408.485
2015-05-11T00:29:59.887683Z,2015,5,11,0,30,0,406.433
2015-05-11T01:30:00.037438Z,2015,5,11,1,30,0,404.531
2015-05-11T02:29:59.871837Z,2015,5,11,2,30,0,406.113
2015-05-11T03:30:00.021599Z,2015,5,11,3,30,0,407.182
2015-05-11T04:29:59.855997Z,2015,5,11,4,30,0,407.579
2015-05-11T05:30:00.005759Z,2015,5,11,5,30,0,408.425
2015-05-11T06:30:00.155521Z,2015,5,11,6,30,0,406.829
2015-05-11T07:29:59.989919Z,2015,5,11,7,30,0,405.77
2015-05-11T08:30:00.139682Z,2015,5,11,8,30,0,404.454
2015-05-11T09:29:59.974080Z,2015,5,11,9,30,0,403.45
2015-05-11T10:30:00.123842Z,2015,5,11,10,30,0,402.442
2015-05-11T11:29:59.958240Z,2015,5,11,11,30,0,401.752
2015-05-11T12:30:00.108002Z,2015,5,11,12,30,0,401.209
2015-05-11T13:29:59.942401Z,2015,5,11,13,30,0,400.888
2015-05-11T14:30:00.092163Z,2015,5,11,14,30,0,400.501
2015-05-11T15:29:59.926561Z,2015,5,11,15,30,0,400.29
2015-05-11T16:30:00.076323Z,2015,5,11,16,30,0,400.838
2015-05-11T17:29:59.910721Z,2015,5,11,17,30,0,401.215
2015-05-11T18:30:00.060483Z,2015,5,11,18,30,0,401.946
2015-05-11T19:29:59.894882Z,2015,5,11,19,30,0,403.803
2015-05-11T20:30:00.044637Z,2015,5,11,20,30,0,405.193
2015-05-11T21:29:59.879042Z,2015,5,11,21,30,0,405.882
2015-05-11T22:30:00.028797Z,2015,5,11,22,30,0,406.479
2015-05-11T23:29:59.863202Z,2015,5,11,23,30,0,406.597
2015-05-12T00:30:00.012957Z,2015,5,12,0,30,0,406.627
2015-05-12T01:29:59.847363Z,2015,5,12,1,30,0,406.633
2015-05-12T02:29:59.997118Z,2015,5,12,2,30,0,406.635
2015-05-12T03:30:00.146880Z,2015,5,12,3,30,0,406.027
2015-05-12T04:29:59.981278Z,2015,5,12,4,30,0,405.117
2015-05-12T05:30:00.131040Z,2015,5,12,5,30,0,403.828
2015-05-12T06:29:59.965438Z,2015,5,12,6,30,0,402.579
2015-05-12T07:30:00.115200Z,2015,5,12,7,30,0,401.86
2015-05-12T08:29:59.949599Z,2015,5,12,8,30,0,400.727
2015-05-12T09:30:00.099361Z,2015,5,12,9,30,0,399.65
2015-05-12T10:29:59.933759Z,2015,5,12,10,30,0,399.123
2015-05-12T11:30:00.083521Z,2015,5,12,11,30,0,398.76
2015-05-12T12:29:59.917919Z,2015,5,12,12,30,0,398.026
2015-05-12T13:30:00.067681Z,2015,5,12,13,30,0,397.729
2015-05-12T14:29:59.902080Z,2015,5,12,14,30,0,397.94
2015-05-12T15:30:00.051842Z,2015,5,12,15,30,0,397.43
2015-05-12T16:29:59.886240Z,2015,5,12,16,30,0,397.936
2015-05-12T17:30:00.036002Z,2015,5,12,17,30,0,399.768
2015-05-12T18:29:59.870400Z,2015,5,12,18,30,0,401.203
2015-05-12T19:30:00.020163Z,2015,5,12,19,30,0,403.073
2015-05-12T20:29:59.854561Z,2015,5,12,20,30,0,403.301
2015-05-12T21:30:00.004323Z,2015,5,12,21,30,0,402.254
2015-05-12T22:30:00.154078Z,2015,5,12,22,30,0,401.449
2015-05-12T23:29:59.988483Z,2015,5,12,23,30,0,401.611
2015-05-13T00:30:00.138238Z,2015,5,13,0,30,0,402.013
2015-05-13T01:29:59.972636Z,2015,5,13,1,30,0,402.615
2015-05-13T02:30:00.122399Z,2015,5,13,2,30,0,402.107
2015-05-13T03:29:59.956797Z,2015,5,13,3,30,0,401.99
2015-05-13T04:30:00.106559Z,2015,5,13,4,30,0,400.634
2015-05-13T05:29:59.940957Z,2015,5,13,5,30,0,400.598
2015-05-13T06:30:00.090719Z,2015,5,13,6,30,0,401.033
2015-05-13T07:29:59.925118Z,2015,5,13,7,30,0,400.877
2015-05-13T08:30:00.074880Z,2015,5,13,8,30,0,401.478
2015-05-13T09:29:59.909278Z,2015,5,13,9,30,0,403.476
2015-05-13T10:30:00.059040Z,2015,5,13,10,30,0,404.887
2015-05-13T11:29:59.893438Z,2015,5,13,11,30,0,405.209
2015-05-13T12:30:00.043200Z,2015,5,13,12,30,0,404.694
2015-05-13T13:29:59.877599Z,2015,5,13,13,30,0,405.049
2015-05-13T14:30:00.027361Z,2015,5,13,14,30,0,405.642
2015-05-13T15:29:59.861759Z,2015,5,13,15,30,0,405.351
2015-05-13T16:30:00.011521Z,2015,5,13,16,30,0,404.727
2015-05-13T17:29:59.845919Z,2015,5,13,17,30,0,403.913
2015-05-13T18:29:59.995681Z,2015,5,13,18,30,0,404.325
2015-05-13T19:30:00.145443Z,2015,5,13,19,30,0,403.8
2015-05-13T20:29:59.979842Z,2015,5,13,20,30,0,404.276
2015-05-13T21:30:00.129597Z,2015,5,13,21,30,0,404.909
2015-05-13T22:29:59.964002Z,2015,5,13,22,30,0,405.734
