"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
1.004435917E0;2.622097321E0;1.589095459E0;9.806856537E0;1.027497221E1
1.014477917E0;3.431464233E0;1.968107300E0;9.933942261E0;1.069259566E1
1.024518917E0;3.893553314E0;1.503024445E0;8.433163147E0;9.409414464E0
1.034559917E0;4.414470062E0;1.121617584E0;8.585097198E0;9.718511503E0
1.044601917E0;4.407883759E0;7.584727478E-1;7.920628967E0;9.096212584E0
1.054642917E0;4.394262085E0;3.965254211E-1;8.086783447E0;9.212102811E0
1.064683917E0;4.319866791E0;2.380050659E-1;8.129744110E0;9.209268961E0
1.074725917E0;4.198020172E0;-1.363664246E-1;8.033194885E0;9.064998027E0
1.084766917E0;3.802093506E0;-5.803431702E-1;8.753047943E0;9.560782474E0
1.094807917E0;3.589236145E0;-3.817062378E-2;9.677226105E0;1.032147171E1
1.104849917E0;3.851041718E0;6.911128235E-1;1.077848602E1;1.146664381E1
1.114890917E0;3.872147827E0;1.127006378E0;1.107936035E1;1.179050033E1
1.124931917E0;4.363126831E0;1.452878723E0;9.963730316E0;1.097377119E1
1.134973917E0;4.506079559E0;1.368753662E0;8.454718323E0;9.677835579E0
1.145014917E0;4.206851807E0;2.236349487E-1;6.971153412E0;8.145219126E0
1.155055917E0;4.032913513E0;-6.508465576E-1;6.244714050E0;7.462201164E0
1.165096917E0;4.719385986E0;1.523831177E-1;5.600453796E0;7.325360566E0
1.175138917E0;5.039420471E0;8.493338013E-1;5.190755768E0;7.284303126E0
1.185179917E0;4.921765137E0;8.394543457E-1;4.752766571E0;6.893275400E0
1.195220917E0;4.204456787E0;4.655319214E-1;4.531077576E0;6.198777367E0
1.205262917E0;3.078348541E0;9.310638428E-2;4.218377838E0;5.222988620E0
1.215303916E0;2.276615753E0;3.622467041E-1;3.711831207E0;4.369427065E0
1.225344917E0;1.450783081E0;7.933502197E-2;3.024310913E0;3.355223106E0
1.235386917E0;1.306782532E0;-6.489006042E-1;2.223176880E0;2.659185593E0
1.245427917E0;2.041454773E0;-9.039701843E-1;1.387614441E0;2.628720891E0
1.255468917E0;3.184926910E0;-7.855664063E-1;1.047821045E0;3.443661270E0
1.265510917E0;4.717889099E0;-5.111869812E-1;7.646099854E-1;4.806705536E0
1.275551917E0;5.993835754E0;2.558180237E-1;5.902226257E-1;6.028256187E0
1.285592917E0;6.413712616E0;5.622308350E-1;3.192860413E-1;6.446220335E0
1.295633917E0;6.126609650E0;3.619473267E-1;3.079096985E-1;6.145010989E0
1.305675917E0;5.669460297E0;1.589694214E-1;3.851490784E-1;5.684750755E0
1.315716917E0;5.520220642E0;-5.523513794E-2;5.263055420E-1;5.545528323E0
1.325757917E0;5.607040100E0;-4.980143738E-1;8.804690552E-1;5.697555858E0
1.335799917E0;6.064638519E0;-5.900729370E-1;6.036946106E-1;6.123109800E0
1.345840917E0;6.957831116E0;-1.005908203E0;4.366419983E-1;7.043715027E0
1.355881917E0;8.352480927E0;-1.383273468E0;9.208850098E-1;8.516185315E0
1.365923917E0;1.024754013E1;-1.485510864E0;1.513502655E0;1.046467924E1
1.375964917E0;1.256846375E1;-1.560504913E0;5.928721161E0;1.398396192E1
1.386005917E0;1.221909027E1;-1.145418091E0;4.764741669E0;1.316514006E1
1.396047917E0;1.119985977E1;-8.855584717E-1;5.237907715E0;1.239583599E1
1.406088917E0;1.034887939E1;-3.287164307E-1;4.841831360E0;1.143025328E1
1.416129917E0;1.062011536E1;-1.521436157E0;1.499731293E0;1.083285798E1
1.426170917E0;1.023466690E1;-2.252366180E0;2.065704346E-2;1.047959859E1
1.436212917E0;9.459578705E0;-1.741777954E0;-7.120692444E-1;9.644918990E0
1.446253917E0;9.070238342E0;-9.684860229E-1;-4.695735168E-1;9.133875850E0
1.456294917E0;8.840915222E0;1.945953369E-3;-6.756948853E-1;8.866698897E0
1.466336917E0;9.124874725E0;-3.646417236E-1;-1.902843018E0;9.328296409E0
1.476377917E0;1.032971924E1;-8.509803772E-1;-3.386108551E0;1.090380660E1
1.486418917E0;1.141331589E1;-9.521699524E-1;-3.783532104E0;1.206173795E1
1.496460916E0;1.257160721E1;-1.458716583E0;-3.417243805E0;1.310918446E1
1.506501917E0;1.342767700E1;-1.806144104E0;-3.003354492E0;1.387749273E1
1.516542917E0;1.289822800E1;-1.726958771E0;-2.905757446E0;1.333379535E1
1.526584917E0;1.166269730E1;-1.585053864E0;-2.794688416E0;1.209715617E1
1.536625917E0;1.103639969E1;-1.464704132E0;-2.550246735E0;1.142152506E1
1.546666917E0;1.096305222E1;-1.240620117E0;-2.563569031E0;1.132693861E1
1.556707917E0;1.051159103E1;-9.039701843E-1;-2.334545288E0;1.080559160E1
1.566749917E0;9.663604431E0;-7.485932922E-1;-1.760638733E0;9.851167000E0
1.576790917E0;9.430838470E0;-6.536906433E-1;-1.672921143E0;9.600348476E0
1.586831917E0;1.005414230E1;-1.202898560E0;-2.601889343E0;1.045478697E1
1.596873917E0;1.082638641E1;-1.658101959E0;-2.932851105E0;1.133849904E1
1.606914917E0;1.144924118E1;-1.503024445E0;-3.661835175E0;1.211417529E1
1.616955917E0;1.155013138E1;-1.745819550E0;-4.853656769E0;1.264956145E1
1.626997916E0;1.091874435E1;-1.678459625E0;-5.499264221E0;1.234010178E1
1.637038917E0;9.438173218E0;-2.656226349E0;-5.391638031E0;1.118947777E1
1.647079917E0;8.851842499E0;-2.623444519E0;-5.746999054E0;1.087499770E1
1.657121917E0;9.250762939E0;-9.645941162E-1;-6.085145874E0;1.111467755E1
1.667162917E0;9.499246216E0;2.787203979E-1;-6.023623810E0;1.125155134E1
1.677203916E0;9.987381134E0;9.571096802E-1;-6.222111053E0;1.180586747E1
1.687244917E0;9.846374359E0;4.541555786E-1;-6.616690521E0;1.187172855E1
1.697286917E0;9.805509338E0;-7.723937988E-1;-6.888974304E0;1.200843756E1
1.707327917E0;9.411229248E0;-1.244811401E0;-6.669380951E0;1.160178580E1
1.717368917E0;8.970246277E0;-1.293909302E0;-6.551426239E0;1.118305438E1
1.727410917E0;8.912017365E0;-1.330133972E0;-6.723717957E0;1.124285075E1
1.737451917E0;8.338559875E0;-1.582359467E0;-6.566694489E0;1.073111918E1
1.747492917E0;7.352260895E0;-1.547631683E0;-6.059249725E0;9.652223129E0
1.757534917E0;6.683002625E0;-1.054557037E0;-5.754034424E0;8.881639870E0
1.767575917E0;6.406527557E0;-7.797285461E-1;-5.463189240E0;8.455649509E0
1.777616917E0;6.630910950E0;-6.149212646E-1;-5.978567505E0;8.949322745E0
1.787657917E0;7.262148285E0;-7.896080017E-1;-7.227121124E0;1.027587263E1
1.797699917E0;8.037236481E0;-1.202299805E0;-7.545958099E0;1.108982320E1
1.807740916E0;8.639583893E0;-1.764830017E0;-7.540120239E0;1.160217428E1
1.817781917E0;8.776848450E0;-2.300565948E0;-7.123237152E0;1.153543150E1
1.827823542E0;8.186625824E0;-2.330354004E0;-6.264173584E0;1.056840872E1
1.837864542E0;7.197183380E0;-2.266586609E0;-6.252647552E0;9.799615547E0
1.847905542E0;6.235732727E0;-2.111808472E0;-6.931785278E0;9.560007574E0
1.857947542E0;5.897436218E0;-1.844165039E0;-7.461683350E0;9.688003770E0
1.867988542E0;5.874982910E0;-1.878443756E0;-8.145162048E0;1.021702696E1
1.878029542E0;5.580096130E0;-2.178869019E0;-8.597970428E0;1.047902851E1
1.888070542E0;4.907395020E0;-2.433190155E0;-8.692274323E0;1.027417019E1
1.898112542E0;4.450994110E0;-2.478096771E0;-8.630752258E0;1.002208545E1
1.908153542E0;4.244124298E0;-2.507735138E0;-8.500373383E0;9.826376454E0
1.918194542E0;4.129462738E0;-2.837349701E0;-8.743168488E0;1.007700407E1
1.928236542E0;4.392465820E0;-2.924468536E0;-8.851393433E0;1.030502003E1
1.938277542E0;5.051395569E0;-2.627785492E0;-8.517886963E0;1.024579192E1
1.948318542E0;5.585335236E0;-2.253563690E0;-7.934849396E0;9.961744523E0
1.958360542E0;5.561834106E0;-2.159409485E0;-7.704628143E0;9.744657140E0
1.968401542E0;5.002147980E0;-2.409689026E0;-8.075257416E0;9.799891221E0
1.978442542E0;4.634063416E0;-2.579585724E0;-8.165370026E0;9.736635656E0
1.988484542E0;4.188290405E0;-2.738854523E0;-8.428822174E0;9.802456012E0
1.998525542E0;3.753744049E0;-2.996768188E0;-8.701854401E0;9.939491132E0
2.008566542E0;3.845952301E0;-3.191662903E0;-8.515491943E0;9.873786722E0
2.018607542E0;3.857777710E0;-3.474125519E0;-8.414751434E0;9.887367632E0
2.028649542E0;3.688629456E0;-3.690725098E0;-8.635093231E0;1.008921573E1
2.038690542E0;3.567231903E0;-3.697910156E0;-8.774752808E0;1.016838088E1
2.048731542E0;3.503165131E0;-3.897445221E0;-8.945098572E0;1.036711308E1
