Flag,NbPoints,Stdev,TIMESTAMP,co2
O,12,0.5950000286102295,2022-10-09 20:00:00,428.5509948730469
O,4,0.05999999865889549,2022-10-09 21:00:00,431.0719909667969
O,12,0.9860000014305115,2022-10-09 22:00:00,437.27301025390625
O,12,1.2209999561309814,2022-10-09 23:00:00,440.1390075683594
O,12,2.377000093460083,2022-10-10 00:00:00,444.0820007324219
O,6,2.0429999828338623,2022-10-10 01:00:00,446.0989990234375
O,12,1.315000057220459,2022-10-10 02:00:00,442.135009765625
O,12,3.009000062942505,2022-10-10 03:00:00,442.1669921875
O,10,5.445000171661377,2022-10-10 04:00:00,442.51300048828125
O,8,3.5769999027252197,2022-10-10 05:00:00,450.09600830078125
O,12,4.885000228881836,2022-10-10 06:00:00,454.7309875488281
O,12,6.322999954223633,2022-10-10 07:00:00,463.739013671875
O,8,1.8420000076293945,2022-10-10 08:00:00,469.5249938964844
O,8,1.2860000133514404,2022-10-10 09:00:00,452.1659851074219
O,12,4.629000186920166,2022-10-10 10:00:00,448.5589904785156
O,12,2.4630000591278076,2022-10-10 11:00:00,444.0169982910156
O,4,0.30399999022483826,2022-10-10 12:00:00,434.6730041503906
O,12,2.003999948501587,2022-10-10 13:00:00,434.3559875488281
O,12,1.4989999532699585,2022-10-10 14:00:00,427.8869934082031
N,0,-9.989999771118164,2022-10-10 15:00:00,
N,0,-9.989999771118164,2022-10-10 16:00:00,
O,4,0.5059999823570251,2022-10-10 17:00:00,429.58099365234375
O,12,4.501999855041504,2022-10-10 18:00:00,438.5150146484375
O,12,1.7209999561309814,2022-10-10 19:00:00,439.3349914550781
O,6,0.4650000035762787,2022-10-10 20:00:00,432.88800048828125
O,12,4.144000053405762,2022-10-10 21:00:00,436.67498779296875
O,12,1.3960000276565552,2022-10-10 22:00:00,428.0929870605469
O,12,0.871999979019165,2022-10-10 23:00:00,427.9070129394531
O,10,0.41999998688697815,2022-10-11 00:00:00,428.9930114746094
O,8,0.2720000147819519,2022-10-11 01:00:00,434.77899169921875
O,12,1.156999945640564,2022-10-11 02:00:00,435.4339904785156
O,4,0.5590000152587891,2022-10-11 03:00:00,434.3500061035156
O,12,1.2719999551773071,2022-10-11 04:00:00,440.3900146484375
O,12,0.5180000066757202,2022-10-11 05:00:00,439.12799072265625
O,12,0.3529999852180481,2022-10-11 06:00:00,439.41400146484375
O,12,0.5540000200271606,2022-10-11 07:00:00,436.9460144042969
O,4,0.6930000185966492,2022-10-11 08:00:00,440.2640075683594
